id,created_at,text
1122909770627682305,2019-04-29 17:05:26,"Sri.Anjani Kumar,IPS,CP,Hyd city attended a meeting with British High Commission,During the meeting the CP met with… https://t.co/oanc2XicI5"
1122909689937743874,2019-04-29 17:05:07,"RT @gigaom: ""Now that the cloud is becoming less and less of a toy and more and more of an actual working tool, this is what the real enter…"
1122909661009674240,2019-04-29 17:05:00,"प्रधानमंत्री श्री @narendramodi 30 अप्रैल 2019 को बिहार और उत्तर प्रदेश में विशाल जनसभाओं को सम्बोधित करेंगें। 

सी… https://t.co/3rDFZsi7f9"
1122909322285993984,2019-04-29 17:03:39,"RT @ANI: Hilal Ahmad Mantoo, PhD student from Kashmir studying in Punjab was arrested last week in connection with car bomb blast in Baniha…"
1122909102768701441,2019-04-29 17:02:47,"RT @ZDNet: Cisco rolls out Wi-Fi 6 networking stack, bets the standard will enable as much as 5G https://t.co/sK36rV1lk0"
1122908402290573312,2019-04-29 17:00:00,भाजपा राष्ट्रीय अध्यक्ष श्री @AmitShah की 30 अप्रैल 2019 को राजस्थान और मध्य प्रदेश में विशाल जनसभाओं को संबोधित क… https://t.co/WifO9N4gOD
1122908332392615936,2019-04-29 16:59:43,"“Damn it’s really good – it’s better than anyone else's car” 

@FullyChargedShw road trips from Copenhagen to Oslo… https://t.co/sBpfMGfVsP"
1122905794402324480,2019-04-29 16:49:38,"All about the ⁦@TwitterIndia⁩ and @editorji partnership for #TwitterDialogues 
https://t.co/PgnrpJSM6C"
1122905331112087565,2019-04-29 16:47:48,RT @wef: What is digital equality? An interview with Nanjira Sambuli https://t.co/CyNvDNdRHx #technology #equality https://t.co/CyNvDNdRHx…
1122905143756738560,2019-04-29 16:47:03,RT @wrdrmrjt: Kind attention plz: T/N 12477 Jamnagar-Shri Mata Vaishno  Devi Katra  Exp of 30.04.2019  is rescheduled to depart 5 hours &amp; 3…
1122904853817126912,2019-04-29 16:45:54,"Great to roll out the partnership @govindethiraj @boomlive_in @databaaz! Here’s to data, digital content and authen… https://t.co/BwFxJuN3J0"
1122904777732399105,2019-04-29 16:45:36,"RT @zerohedge: Google Tracks Your Location And Shares It With Police, Even When Your Phone Is Off https://t.co/D6BoGgk0i0"
1122904295941107713,2019-04-29 16:43:41,#LokSabhaElections2019 | Voter turnout further declines in #Phase4 of polling as 70% of Indians finish voting… https://t.co/tNAxKeRfjr
